"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","Delete file","LMS service","Thu Jul 23 19:37:52 UTC 2026","passed","Thu Jul 23 19:37:52 UTC 2026","Delete_entity","Files","",""
"","77","Get courses","LMS service","Thu Jul 23 19:37:43 UTC 2026","passed","Thu Jul 23 19:37:43 UTC 2026","Get_entity","Courses","",""
"","303","Update course","LMS service","Thu Jul 23 19:37:43 UTC 2026","passed","Thu Jul 23 19:37:43 UTC 2026","Update_entity","Courses","",""
"","86","Create course","LMS service","Thu Jul 23 19:37:44 UTC 2026","passed","Thu Jul 23 19:37:44 UTC 2026","Create_entity","Courses","",""
"","15","Get user me","LMS service","Thu Jul 23 19:37:53 UTC 2026","passed","Thu Jul 23 19:37:53 UTC 2026","Get_entity","Users","",""
"","60","Get exercise","LMS service","Thu Jul 23 19:37:46 UTC 2026","passed","Thu Jul 23 19:37:46 UTC 2026","Get_entity","Exercises","",""
"","293","Create user","LMS service","Thu Jul 23 19:37:52 UTC 2026","passed","Thu Jul 23 19:37:52 UTC 2026","Create_entity","Users","",""
"","289","Login with correct email and password","LMS service","Thu Jul 23 19:37:42 UTC 2026","passed","Thu Jul 23 19:37:42 UTC 2026","LOGIN","Authentication","",""
"","261","Create exercise","LMS service","Thu Jul 23 19:37:45 UTC 2026","passed","Thu Jul 23 19:37:45 UTC 2026","Create_entity","Exercises","",""
"","65","Update exercise","LMS service","Thu Jul 23 19:37:46 UTC 2026","passed","Thu Jul 23 19:37:46 UTC 2026","Update_entity","Exercises","",""
"","56","Get file","LMS service","Thu Jul 23 19:37:49 UTC 2026","passed","Thu Jul 23 19:37:49 UTC 2026","Get_entity","Files","",""
"","67","Get exercises","LMS service","Thu Jul 23 19:37:48 UTC 2026","passed","Thu Jul 23 19:37:48 UTC 2026","Get_entities","Exercises","",""
"","290","Create user","LMS service","Thu Jul 23 19:37:52 UTC 2026","passed","Thu Jul 23 19:37:52 UTC 2026","Create_entity","Users","",""
"","18","Create file with empty filename","LMS service","Thu Jul 23 19:37:50 UTC 2026","passed","Thu Jul 23 19:37:50 UTC 2026","Validate_entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Thu Jul 23 19:37:52 UTC 2026","passed","Thu Jul 23 19:37:52 UTC 2026","Validate_entity","Files","",""
"","275","Create file with empty directory","LMS service","Thu Jul 23 19:37:50 UTC 2026","passed","Thu Jul 23 19:37:50 UTC 2026","Validate_entity","Files","",""
"","17","Create file","LMS service","Thu Jul 23 19:37:49 UTC 2026","passed","Thu Jul 23 19:37:49 UTC 2026","Create_entity","Files","",""
"","101","Delete exercise","LMS service","Thu Jul 23 19:37:48 UTC 2026","passed","Thu Jul 23 19:37:48 UTC 2026","Delete_entity","Exercises","",""
"","527","Create user","LMS service","Thu Jul 23 19:37:52 UTC 2026","passed","Thu Jul 23 19:37:53 UTC 2026","Create_entity","Users","",""
